1 0 0.0001165736
1 1 0.0002603185
1 2 0.0006486051
1 3 0.0836060688
1 4 1.0000000000
2 0 0.0038775391
2 1 0.0002398144
2 2 0.0012363403
2 3 0.6799272131
2 4 1.0000000000
3 0 0.0030145958
3 1 0.0044242989
3 2 0.0493612961
3 3 0.0132186775
3 4 1.0000000000
4 0 0.0009379670
4 1 0.0016367778
4 2 0.0030649300
4 3 1.0000000000
4 4 0.0147530501
5 0 0.0034614951
5 1 0.0029017346
5 2 0.0031661569
5 3 0.0033982083
5 4 1.0000000000
6 0 0.0669275242
6 1 0.0688856880
6 2 0.0858092523
6 3 0.7910763961
6 4 1.0000000000
7 0 0.5361455473
7 1 0.5731522166
7 2 0.6664927423
7 3 0.7244880345
7 4 1.0000000000
8 0 0.9467644241
8 1 0.9623503400
8 2 0.9564299278
8 3 0.9995248764
8 4 1.0000000000
