1 0 0.0018483518
1 1 0.0025571182
1 2 0.0055033632
1 3 0.1770248485
1 4 1.0000000000
2 0 0.0421021148
2 1 0.0020408881
2 2 0.0043984658
2 3 0.9293254513
2 4 1.0000000000
3 0 0.0440640355
3 1 0.0324932636
3 2 0.2231732446
3 3 0.0385164051
3 4 1.0000000000
4 0 0.0074798463
4 1 0.0065330304
4 2 0.0083996105
4 3 1.0000000000
4 4 0.0285126873
5 0 0.0551380915
5 1 0.0232556792
5 2 0.0134991860
5 3 0.0077576867
5 4 1.0000000000
6 0 0.6510106214
6 1 0.3374098433
6 2 0.2489335272
6 3 1.0000000000
6 4 0.6341685364
7 0 1.0000000000
7 1 0.5664350759
7 2 0.4730414485
7 3 0.2426269633
7 4 0.1610850739
8 0 1.0000000000
8 1 0.5102606448
8 2 0.2586276172
8 3 0.1357437471
8 4 0.0703462199
