6 0 0.2535232703
6 1 0.1309672379
6 2 0.0703436520
6 3 1.0000000000
6 4 0.0301646729
6 0 0.2535232703
6 1 0.1309672379
6 2 0.0703436520
6 3 1.0000000000
6 4 0.0301646729
7 0 1.0000000000
7 1 0.3549797636
7 2 0.2266125237
7 3 0.1590055263
7 4 0.2425111939
7 0 1.0000000000
7 1 0.3549797636
7 2 0.2266125237
7 3 0.1590055263
7 4 0.2425111939
8 0 1.0000000000
8 1 0.5349714583
8 2 0.2632481189
8 3 0.2192830446
8 4 0.1300563795
8 0 1.0000000000
8 1 0.5349714583
8 2 0.2632481189
8 3 0.2192830446
8 4 0.1300563795
9 0 1.0000000000
9 1 0.5187288752
9 2 0.3281691186
9 3 0.1566085412
9 4 0.0834326303
9 0 1.0000000000
9 1 0.5187288752
9 2 0.3281691186
9 3 0.1566085412
9 4 0.0834326303
