32 512 512 r 1.000000
32 512 512 c 1.000000
64 512 512 r 1.134232
64 512 512 c 1.140304
128 512 512 r 1.143782
128 512 512 c 1.207005
256 512 512 r 1.000000
256 512 512 c 1.188686
512 512 512 r 0.606560
512 512 512 c 1.096405
512_m 512 512 r 0.570874
512_m 512 512 c 1.364752
32 1024 1024 r 1.000000
32 1024 1024 c 1.000000
64 1024 1024 r 1.148880
64 1024 1024 c 1.154574
128 1024 1024 r 1.217764
128 1024 1024 c 1.229993
256 1024 1024 r 1.211560
256 1024 1024 c 1.266033
512 1024 1024 r 0.977067
512 1024 1024 c 1.264561
512_m 1024 1024 r 1.078941
512_m 1024 1024 c 1.644072
32 2048 2048 r 1.000000
32 2048 2048 c 1.000000
64 2048 2048 r 1.163568
64 2048 2048 c 1.161599
128 2048 2048 r 1.252797
128 2048 2048 c 1.247336
256 2048 2048 r 1.289878
256 2048 2048 c 1.294246
512 2048 2048 r 1.226049
512 2048 2048 c 1.320637
512_m 2048 2048 r 1.330423
512_m 2048 2048 c 1.731971
32 4096 4096 r 1.000000
32 4096 4096 c 1.000000
64 4096 4096 r 1.170507
64 4096 4096 c 1.162529
128 4096 4096 r 1.266619
128 4096 4096 c 1.253831
256 4096 4096 r 1.317484
256 4096 4096 c 1.304175
512 4096 4096 r 1.333074
512 4096 4096 c 1.339612
512_m 4096 4096 r 1.409875
512_m 4096 4096 c 1.776220
32 4096 1024 r 1.000000
32 4096 1024 c 1.000000
64 4096 1024 r 1.161955
64 4096 1024 c 1.164506
128 4096 1024 r 1.250177
128 4096 1024 c 1.248959
256 4096 1024 r 1.286387
256 4096 1024 c 1.297624
512 4096 1024 r 1.232529
512 4096 1024 c 1.323988
512_m 4096 1024 r 1.324246
512_m 4096 1024 c 1.729888
32 1024 4096 r 1.000000
32 1024 4096 c 1.000000
64 1024 4096 r 1.166396
64 1024 4096 c 1.162590
128 1024 4096 r 1.253861
128 1024 4096 c 1.251336
256 1024 4096 r 1.294406
256 1024 4096 c 1.302120
512 1024 4096 r 1.243072
512 1024 4096 c 1.325380
512_m 1024 4096 r 1.330367
512_m 1024 4096 c 1.749743
