27 1024 3.537664 0.273663
64 1024 1.484850 0.667279
125 1024 0.768197 0.430355
125_m 1024 0.772243 0.416688
27 2048 28.079724 0.766559
64 2048 11.875031 1.486125
125 2048 6.102440 0.811998
125_m 2048 6.124738 0.340746
27 4096 224.575153 2.391709
64 4096 95.726594 1.927498
125 4096 48.757098 2.613355
125_m 4096 48.838995 1.492997
